Defect#,Name,Description,RCA Category,Root Cause,Resolution,Corrective and Preventive Action Taken,Notes,Actual Defect Reason,Revised RCA
DE249774,"[FLPNP] [Prod Issue] [INC12402445] : Stuck on """"Classification"""" status","Issue Description:Stuck on """"Classification"""" statusUser Name:  Soni, Lavneesh User Email:  Soni.Lavneesh@aig.com Submitted Date & Time:  Dec 10, 2025 1:22 PM Impacts multiple users or Business units:  No Application Impacted:  UW Assist Control No:  S-2406591 ",Model Inference,12-10-2025 - Dineshwaran - There has been a short delay in moving to next status from Classification. But the submission has been moved to Intake Val and then marked out of scope as it is Side A submission. Hence this can be closed as this appears to be isolated only for this submission and one off situation. ,Not reproducible, No action required. the submission has been moved to out of scope as it is identified as a Side-A submission.,12-10-2025 - Dineshwaran - There has been a short delay in moving to next status from Classification. But the submission has been moved to Intake Val and then marked out of scope as it is Side A submission. Hence this can be closed as this appears to be isolated only for this submission and one off situation.,12-10-2025 - Dineshwaran - There has been a short delay in moving to next status from Classification. But the submission has been moved to Intake Val ,Code - Edge Case
DE249565,[FLPNP] [Prod Issue] [INC12401675] : Workup email is not being sent to inbox,"Issue Description:Workup email is not being sent to inbox.User Name:  Grabek,John User Email:  John.Grabek@aig.com Submitted Date & Time:  Dec 10, 2025 9:16 AM Impacts multiple users or Business units:  No Application Impacted:  UW Assist Submission:  77851055 Control No:  S-2401645 ",Timeout Issue,"The delay in receiving email might be too many msgs in the email queue. As long as email arrives, the uw application function is working fine.To understand the rootcause of the delay in email delivery, we may have to reachout to notification team.",Environment issue,,"Based on the logs, the email notification request is initiated at 10.43AM and the email is published to the email notification queue immediately. As the application's job is done, we will have to check how the email queue is handled.  The delay in receiving email might be too many msgs in the email queue. As long as email arrives, the uw application function is working fine.we may have to reachout to notification team to check about the delay. 10:43:04.927 AM : emailNotification_impl Flow Started10:43:05.049 AM : Email Notification Request10:43:05.149 AM : Publishing message to the email notification queue10:43:05.150 AM : Message published to the email notification queue","The delay in receiving email might be too many msgs in the email queue. As long as email arrives, the uw application function is working fine.To under",Infra - Environment Issue
DE249556,"[FLPNP] [Prod Issue] [INC12401408] : """"No record found"""" in UWA","Issue Description:Showing """"No record found"""" in UWA S-2405486 S-2405015User Name:  Soni, Lavneesh User Email:  Soni.Lavneesh@aig.com Submitted Date & Time:  Dec 10, 2025 7:43 AM Impacts multiple users or Business units:  No Application Impacted:  UW Assist ",Enhancement,iSuite - GDMS know issue.,Data Issue,Manual data update by iSuite team.,,iSuite - GDMS know issue.,Code - Edge Case
DE249346,[FLPNP] [Prod Issue] [INC12397008] : 'No record found' in UWA,"Issue Description:Please assist to resolve the issue for below items, 22 files are showing as 'No record found' in UWA S-2405016 S-2405122 S-2405143 S-2405288 S-2405314 S-2405023 S-2405067 S-2405078 S-2405083 S-2405090 S-2405120 S-2405133 S-2405137 S-2405149 S-2405203 S-2405240 S-2405245 S-2405250 S-2405261 S-2405317 S-2405329 S-2405330User Name:  Soni, Lavneesh User Email:  Soni.Lavneesh@aig.com Submitted Date & Time:  Dec 9, 2025 5:36 AM Impacts multiple users or Business units:  No Application Impacted:  UW Assist ",Enhancement,iSuite and GDMS connectivity issue.,Data Issue,Manual update by iSuite Team.,,iSuite and GDMS connectivity issue.,Infra - Third Party/API Connectivity
DE249113,[FLPNP] [Prod Issue] [INC12395144] : net loss did not populate,"Issue Description:net loss did not populate through User Name:  Zhu,Maria User Email:  Maria.Zhu@aig.com Submitted Date & Time:  Dec 8, 2025 2:30 PM Impacts multiple users or Business units:  No Application Impacted:  UW Assist Submission:  42294747 Control No:  S-2399019 ",Not a Defect,"Not a defect as we are not extracting net income(loss) from the documents currently, the user has to input the values for that field manually in the workup.",Not a Defect,UWs have to input the values manually in the workup.,"Gowtham 1/27/2026: Since UW reported, Net Income/Loss is not shown in the UWA UI went to check why. In the UWA UI, the entity is not shown under income statement section. So went to look if it's being extracted in the AIP logic """"Income Statement YoY"""". Saw that we're not extracting the entity. Hence it's not there in the UWA UI. So this is not a defect.As per Roshan: (PFA email)We don't extract net income today. But UWs have an option to input that in workup. Original Pic:Entities shown in UWA UI:Entities extracted from Income Statement YoY AIP logic: Next Steps: Based on the feedback or necessity of this entity for the UW's, need to decide whether to include this entity or not. Sharanteja:As per Roshan: (PFA email)We don't extract net income today. But UWs have an option to input that in workup.So this is working as expected and currently we are not extracting the net income(loss) values from documents, the user has to input the values manually in the workup. This is where it should populate – the net loss/net income line  ","Not a defect as we are not extracting net income(loss) from the documents currently, the user has to input the values for that field manually in the w",Not a Defect - Working as Expected
DE248658,[LMMC] [Prod Issue] [INC12384591] : Classification status in UWA,"Issue Description:Classification status in UWAUser Name: Gupta, Bhavna User Email: Bhavna.Gupta@aig.com Submitted Date & Time: Dec 5, 2025 7:31 AM Impacts multiple users or Business units: No Application Impacted: UW Assist Submission: ~ER4307556 Transaction Id: e92a9635-dfd5-4588-8c53-200a1910e3d2",Back-end Code Issue,"The RCA for these submissions getting stuck is due to a duplicate attempt to download documents, which affects downstream statuses. ",Code issue, The fix for this is availabe and it will be included in the 12/12 release,"Embedding is not completed, which is expected to run the LLM extraction, hence it is stuck in classification. Upon running the submission offline in preview mode to check embedding status, it gets marled to complet and queued for LLM Extraction  Awaiting response from Palantir team to triage this further@Anushree Manoharrao Response from NicoThese submissions have been triaged and are now in intake validation. ","The RCA for these submissions getting stuck is due to a duplicate attempt to download documents, which affects downstream statuses.",Not a Defect - Duplicate
DE248656,[LMMP] [Prod Issue] [INC12384355] : Showing Ingestion status,"Issue Description:Showing Ingestion status User Name: Jain, Priyanka Ai User Email: Priyankaai.Jain@aig.com Submitted Date & Time: Dec 5, 2025 6:23 AM Impacts multiple users or Business units: No Application Impacted: UW Assist 5ba8ffc4-e38f-4099-9fc5-d7057f03c5cfImageRight Id~ER4305058",Back-end Code Issue,"The RCA for these submissions getting stuck is due to a duplicate attempt to download documents, which affects downstream statuses. ",Code issue, The fix for this is availabe and it will be included in the 12/12 release, 12/5 : @Anushree Manoharrao  Document download status has failed for this with the below error :RemoteException: INVALID_ARGUMENT (Actions:ObjectsAlreadyExist)Below is the status on processing dashboard Awaiting response from Palantir team to triage this further@Anushree Manoharrao Response from NicoThese submissions have been triaged and are now in intake validation. ,"The RCA for these submissions getting stuck is due to a duplicate attempt to download documents, which affects downstream statuses.",Not a Defect - Duplicate
DE248501,[LMMC] [Prod Issue] [INC12382052] : Crime score mismatch with WWIP,"Issue Description:Crime score listed in tool is different than the one listed on WWIP.User Name:  Hollowell IV, William User Email:  bray.hollowell@aig.com Submitted Date & Time:  Dec 4, 2025 1:13 PM Impacts multiple users or Business units:  Yes Application Impacted:  UW Assist Submission:  S8562250 ",Not a Defect,"WWIP do not pull Crime score every year – WWIP pools crime score alternate year.  Whereas, UWA returns live score. ",Not a Defect,"Checked for the scores with mule & augmentation team , API returned value and what is on UWA are sameConfirmed that WWIP uses same value/end point to get the scoresAiden helped check with Verisk/vendor team to see why same address is returning different values and what is the right score. Previously when we had this issue, it was because of an older xml used.Process followed on WWIP end for crime score analysis:Verify the location address with google – in WWIP UI Location panel .Send this address to VRISKIf VRISK return the response – we display Crime score as is no conversation .If VRISK do not retrun the response or error out – we display 0 as crime score and when evenr next time user try to to rate we retry VRSIK in indication module or during the Endorsement module.During the renewal time – we call alternate year instead of every year call to VRISK. Both WWIP and Palantir uses Verisk end point with CAP current index value to report the numbers.Product is responsible to provide the users with the latest XML.Crime scores can change over time, as the underlying data is continuously being updatedAdditional notes from Verisk:From Verisk’s perspective, I would like to share that Crime scores are more likely to fluctuate than other LOCATION products. There are many underlying data inputs for Crime that are continuously updated (as opposed to other LOCATION products that are only updated monthly or quarterly), meaning that a score could change for a single address at any time.  Crime scores are also scaled with greater granularity than many other LOCATION products, so slight alternations to underlying data can cause perceivable differences.Also, just in case you may have access to both, I wanted to remind you that the Crime algorithms for Personal lines and Commercial lines are different – so the scores will differ and are not meant to match.Additionally, LOCATION is designed to return valid single addresses – not address ranges, nor aliases.  Even though aliases are recognized within our database, inputting them both at the same time could trigger matching issues.  ","12/10 - WWIP do not pull Crime score every year – WWIP pools crime score alternate year. Whereas, UWA returns live score. Can lead to potential mismatch in score. 12/8 - Swanand has confirmed we are seeing the same score on portal and API response (UWA crime score = 525 vs WWIP 396), possibly user is using old xml and the data is not updated correctly at WWIP end.Anushree checked with Aiden Lenahan to check if the latest xml was shared with the user. More to discuss on the hypecare call today with Swanand. 12/5 - Waiting for confirmation from user if the updated data is being used. Awaiting on mule team for their response. 12/4 : Function preview returns the same value as present on UWANeed to confirm with the user if they are using the latest data, whereas mule team will check tomorrow for the right score.Working with Swanand to understand what to really check with the user about the new / old XMLs that they might have.   ","WWIP do not pull Crime score every year – WWIP pools crime score alternate year.  Whereas, UWA returns live score.",Infra - Third Party/API Connectivity
DE248468,[LMMP] [Prod Issue] [Multiple Incidents] : UWA showing internal server error,"INC12381484, INC12381481, INC12381481, INC12381467, INC12381410, INC12381303Issue Description:UWA is not working showing internal server errorUser Name: Jain, Priyanka Ai User Email: Priyankaai.Jain@aig.com Submitted Date & Time: Dec 4, 2025 8:51 AM Impacts multiple users or Business units: No Application Impacted: UW Assist ",Front-end Code Issue,Entitlements team found the services were unhealthy in entitlement side and the services were bounced from their end. UWA was back up after 9.30am and working normally.The outage was from08:13:39.926-0500Until09:30:23.792-0500. INTERNAL_SERVER_ERROR code 500 occurred on resource 'https://entitlement-api-v1.ss.hip10.prduweks.us-east-1.aws.aig.net/api/v2/user/7222’ with error code “GENAI-HIP-GATEWAYAPI-GEN-ERR-HNDLR-001”   ,Infrastructure issue,"We found the services were unhealthy in entitlement side and we bounce the services and also, we send a advisory across the same. In future if you have such issue reach us GI_ProdMgmt_SCUP_COG@aig.com .","From the splunk logs, it appears INTERNAL_SERVER_ERROR started occurring from 2025-12-04 08:13:39.926.Total error count : 56 until the issue resolved itself around 9.45am. We are investigating further to check if this is due to network issue and narrow down to the root cause.  HTTP GET on resource 'https://entitlement-api-v1.ss.hip10.prduweks.us-east-1.aws.aig.net/api/v2/user/7222' failed: internal server error (500).    ",Entitlements team found the services were unhealthy in entitlement side and the services were bounced from their end. UWA was back up after 9.30am and,Infra - Third Party/API Connectivity
DE248467,[LMMC] [Prod Issue] INC12379142] : no insured name and no itake validation status in UWA,"Issue Description:facing issue no insured name and no itake validation status in UWAUser Name:  Rajpoot, Mohit User Email:  Mohit.Rajpoot@aig.com Submitted Date & Time:  Dec 3, 2025 4:22 PM Impacts multiple users or Business units:  No Application Impacted:  UW Assist Submission:  ~ER4301945 ",Back-end Code Issue,Issue is resolved : Insured name and other details are getting populated now. RCA awaited. THis will be moved to Jayce's queue for RCA and closure.. ,Code issue,,"12/4 : Issue seems resolved. RCA awaited. 12/3 : After documents are downloaded, we receive the RemoteException: INVALID_ARGUMENT (Actions:ObjectsAlreadyExist) with instance error for set DownaloadStatusAfter the document download is marked completed, it is again getting marked “Failure”. Email chain is going on to get more details from PalantirIt is resolved now, but need RCA. ",Issue is resolved : Insured name and other details are getting populated now. RCA awaited. THis will be moved to Jayce's queue for RCA and closure..,Code - Edge Case
DE248204,[LMMC] [Prod Issue] [INC12378420] : Failed to convert SubmissionRecord to Submit.,"Issue Description:Failed to convert SubmissionRecord to Submit.User Name:  Dua, Kajal User Email:  Kajal.Dua@aig.com Submitted Date & Time:  Dec 3, 2025 10:57 AM Impacts multiple users or Business units:  No Application Impacted:  UW Assist ",API Configuration Issue,Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration .,Code issue,Code issue at WWIP end - to be fixed by 12/09,"12/4 : Vishal email : Issue at WWIP end on the dba name, same effective and expiration date. Dba Name issue :: length of name is more than allowed in WWIP Date :: date can not be same for effective and expiration . WWIP API – Code will be change for above 3 issues in next 4 hours and will be publish to QA and UAT (before end of today)  Expected be on Prod by 12/09/2025 (based on all required approval). 12/3 : Linked to a wider copy button issue impacting LMMC/ LMMP submissions - under investigation with WWIP and Palantir team",Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration .,Infra - Third Party/API Connectivity
DE248174,[FLPNP] [Prod Issue] [INC12377845] : S-work : No result found in UW assist.,"Issue Description:S-work No result found in UW assist.User Name:  Singh, Saurav User Email:  Saurav.Singh@aig.com Submitted Date & Time:  Dec 3, 2025 7:56 AM Impacts multiple users or Business units:  No Application Impacted:  UW Assist Control No:  S-2402548 ",Enhancement,iSuite and GDMS connectviity issue.,Data Issue,Fixed manually.,,iSuite and GDMS connectviity issue.,Infra - Third Party/API Connectivity
DE247977,[LMMC] [Prod Issue] INC12375516] : 'Extraction' status not updating in UWA( Document Download Issue),"Issue Description:Unable to proceed with the submission due to 'Extraction' status found in UWA. It's been 24 hours now, and the status is still the same. User Name:  Aggarwal, Shivani User Email:  Shivani.Aggarwal@aig.com Submitted Date & Time:  Dec 2, 2025 1:32 PM Impacts multiple users or Business units:  No Application Impacted:  UW Assist Submission:  ER4294123 ",Not a Defect,RCA not available from Palantir team yet,Not reproducible,,"Serena: Submission ID = cec61ea5-0778-4c59-98f8-576a6ad2124b, ImageRight ID = ~ER4294123 The screenshot below is for the wrong submission - see below for the Download screen that matches this submission:Submission is now in Intake Validation status - original issue was due to the same issue as DE248656, which is now fixed from the 12/12 release 12/8: Anila to follow up 12/3 : Reached out to Serena to look into this. This looks to be a download issue.  When I try to run it offline under the preview for download, it shows two other pdfs which does not appear on the dashboard.  Reached out to Serena to look into this.",RCA not available from Palantir team yet,Code - Edge Case
DE247965,[LMMC] [Prod Issue] INC12375162] : unable to convert submission( Copy button Issue),"Issue Description:unable to convert submission - ERROR MESSAGE (Invalid Policy CompanyID/ProductID.)User Name:  Gupta, Bhavna User Email:  Bhavna.Gupta@aig.com Submitted Date & Time:  Dec 2, 2025 11:07 AM Impacts multiple users or Business units:  No Application Impacted:  UW Assist Submission:  ~ER4298293 ",API Configuration Issue,Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration . ,Code issue,Issue at WWIP end - to be fixed by 12/09,"12/4 : Vishal email : Issue at WWIP end on the dba name, same effective and expiration date. Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration . WWIP API – Code will be change for above 3 issues in next 4 hours and will be publish to QA and UAT (before end of today)  Expected be on Prod by 12/09/2025 (based on all required approval). 12/2 : Related to the existing invalid Product Id/ Copy Button Issue. ProductId - Commercial General Liability coming with spaces and errored out at WWIP end (expectation is CommercialGeneralLiability without spaces).Under investigation with Palantir team. ",Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration .,Infra - Third Party/API Connectivity
DE247940,[FLPNP] [Prod Issue] INC12374841] : 'No record found' in UWA Control No. - S-2401669,"Issue Description:Showing as 'No record found' in UWA Control No. - S-2401669User Name:  Soni, Lavneesh User Email:  Soni.Lavneesh@aig.com Submitted Date & Time:  Dec 2, 2025 9:39 AM Impacts multiple users or Business units:  No Application Impacted:  UW Assist Control No:  S-2401669 ",Document Source Extraction,Due to latency between iSuite and GDMS,Data Issue,Fixed by manual update.,,Due to latency between iSuite and GDMS,Code - Edge Case
DE247906,[LMMC] [Prod Issue] INC12374465] : failed to convert ER number to Submission (Copy button Issue),"Issue Description:Unable to copy -failed to convert ER number to Submission User Name: Rajpoot, Mohit User Email: Mohit.Rajpoot@aig.com Submitted Date & Time: Dec 2, 2025 8:20 AM Impacts multiple users or Business units: No Application Impacted: UW Assist Submission: ~ER4297989 / 80abc77a-65d6-40ef-b7d3-0c1a7aea143a",API Configuration Issue,Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration . ,Code issue,Issue at WWIP end - to be fixed by 12/09,"12/4 : Vishal email : Issue at WWIP end on the dba name, same effective and expiration date. Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration . WWIP API – Code will be change for above 3 issues in next 4 hours and will be publish to QA and UAT (before end of today)  Expected be on Prod by 12/09/2025 (based on all required approval). 12/2 : Submission : 80abc77a-65d6-40ef-b7d3-0c1a7aea143a.Initial analysis suggests a break in Default Value reference table. Product ID (Line of Business Cd) is ingested as default value Commercial General Liability (with spaces) from reference table vs WWIP expectation of CommercialGeneralLiability without spaces. Multiple submissions impacted. Under Timo/ Palantir team for further investigation. ",Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration .,Infra - Third Party/API Connectivity
DE248509,[FLPNP][Prod Issue]: Renewal submissions stuck in exception status,7000~ submissions stuck in exception state from 11/03,Not a Defect,Intentionally added a new automation which unconditionally moved the submission status to exception due to the huge influx of renewal submission on Nov 3rd.,Data Issue,Palantir team has already has fix planned and in place for this issue.,"From the submission status history we can see the submission status is changed to Exception by an action [HDW] [UW Assist] Submission Intake Status To Exception. This action is part of an automation which is triggered intentionally due to huge influx of renewal submissions on Nov 3rd. This action reverted the submission status to exception unconditionally.The automation also has a description mentioning """"Move existing submissions to exception to pause influx of renewal submissions"""". 12/05 :  Sharan:  Analysis in progress",Intentionally added a new automation which unconditionally moved the submission status to exception due to the huge influx of renewal submission on No,Code - Edge Case
DE247693,[FLPNP] [Prod Issue] INC12371349] : Financials are incorrect and needed manual edit,"Issue Description:Financials are incorrect. Need to edit. User Name:  Kuhen,Scott User Email:  Scott.Kuhen@AIG.com Submitted Date & Time:  Dec 1, 2025 10:17 AM Impacts multiple users or Business units:  Yes Application Impacted:  UW Assist Submission:  70564229 ",Not a Defect,,Not a Defect,,Closing the defect as there is no tasks for the team - the submission was bound by UW in QUIC.DateOwnerComment12-3-2025DineshwaranUnable to see the financial section as the submission is in Bound quic status and Do Not Process UWA Status. Cannot proceed with analysis. Not enough functions log available to proceed with the analysis as the submission was created on Sep-15.There are no documents available in the ontology. So there is no documents to extract financials from. I am unsure if we need to perform further analysis as the submission is in DNP and Bound in QUIC.@Parthasaradhi Gunichetty  -Can we please reach out to user if they are still looking for a resolution here? or check with QUIC team if the Bound status is valid? https://cyclamen.palantirfoundry.com/workspace/hubble/exploration/autosaved/06f15510-6155-45e9-9331-15efac57dc5c_sVhF4Ieevdkh_212-1-2025DineshwaranAnalysis in progress. The renewal submission is marked Do not process and Bound status.    ,,Code - Edge Case
DE246942,[FLPNP] [Prod Issue] [INC12356402] : Internal and External Research not populating.,"Issue Description:Internal and External Research not populating. User Name:     Kuhen,Scott User Email:     Scott.Kuhen@AIG.com Submitted Date & Time:     Nov 25, 2025 2:28 PM Impacts multiple users or Business units:     Yes Application Impacted:     UW Assist Submission:     157314182 ",Back-end Code Issue,"Internal Search (submission/quote history) not populated in the initial run due to no quote history details present, which led to status being marked as missing data for the Internal Search submission history. Regarding the Pitchbook the scope file is sent and with in the SLA of 48 hours we didn't receive any response from Pitchbook so we didn't populate any data, which could be due to incorrect website sent in scope file which was picked from TDNB Website dataset based on duns number.  29655aae-231e-4ddd-9bce-6bada576f83cUSAble Mutual Insurance Companywww.arkansasbluecross.com601 SOUTH GAINES STREETLITTLE ROCKARUNITED STATES",Data Issue,The external research issue to be resolved with the pitch book story and the HITL edits,"12/02: Anila responded to the user. For the Internal search the comparable policies and policy history are populated the missing information is about submission/quote history.From the latest logs we can see that there's a failure for the Submission History and Corporate Inforce. which is due to the Object conflict issue which we have seen for other submissions as well.RemoteException: CONFLICT (Actions:ObjectVersionChanged) with instance ID 3fd0113e-b362-4871-a6a9-46a13c3a293e: {primaryKeys=[], objectLocators=[], translationInfo_userMessage=Failed to submit due to concurrent edits to the same resource. Please try again later., ridBasedPrimaryKeys=[], translationInfo_technicalMessage=This can happen when the same resource is edited by multiple actions at once, or if there are multiple edits to the same object within a single submission.For example, in the case of function-backed actions, this can happen if your action runs a function that calls another function that reads & writes to the same object.Non-function backed actions can lead to this problem when there are clashing rules attempting to create objects using the same primary key.Please try again or check the Action Type for multiple edits to the same object in the same action., functionRid=Optional.empty, executedFunctionVersion=Optional.empty, objectDetails=[ObjectVersionChangedDetails{entity: ObjectVersionChangedEntity{value: ObjectLocatorV2Wrapper{value: ObjectLocatorV2{objectTypeRid: ri.ontology.main.object-type.cc15a9b5-1bfe-4d80-9916-3910563bd0c8, primaryKey: {ri.ontology.main.property.e67fe97d-8428-4623-a66f-dfc73d89de86=PrimaryKeyValue{value: StringWrapper{value: 29655aae-231e-4ddd-9bce-6bada576f83c}}}}}}, encounteredVersions: [], lastModifiedBy: Optional[ObjectLastModifiedBy{value: ActionRidWrapper{value: ri.actions.main.action.6b6c2117-06cc-4fb2-a602-8511588ac9d7}}]}], isPhonographError=Optional[false]}During the initial run the log message was missing data for the submission history but as the internal search happened on Aug 13 and once again at Sep 26 we don't have the function logs for those runs which makes it difficult to identify the reason. But from the BE code the missing data is populated when there's no duns number or no information about quote history. Upon Testing Query QUIC Submission Quote History  we can observe there's no quote history details present. Regarding the external search the Pitchbook haven't responded within the SLA of 48 hours which led to marking Data not found for Pitchbook status. This could be due to incorrect website present in the scope file, which was picked up from TDNB Website dataset based on the duns number.  29655aae-231e-4ddd-9bce-6bada576f83cUSAble Mutual Insurance Companywww.arkansasbluecross.com601 SOUTH GAINES STREETLITTLE ROCKARUNITED STATES  ","Internal Search (submission/quote history) not populated in the initial run due to no quote history details present, which led to status being marked ",Code - Edge Case
DE247687,[LMMC] [Prod Issue] INC12362104] : Internal Server error in UWA,"Issue Description:Internal Server error in UWAUser Name:  Pooja, P.c User Email:  Pc.Pooja@aig.com Submitted Date & Time:  Nov 27, 2025 12:35 PM Impacts multiple users or Business units:  No Application Impacted:  UW Assist",Timeout Issue,Unable to reproduce,Not reproducible,Network issue. Issue got resolved.,"Hi Anila, We can see there are few calls failed for below submissions on 27th , 28th  bdb604ed-eebc-4328-925f-bce754adc6df / ~ER4290019 a09f0c9f-3008-42c2-bcc8-0296d8d8b615 /~ER4292233  d8ee1fd2-dbf8-4aa9-aad7-11648d8ba92e  / ~ER4291434 while palentir called this external api  [""""'https://entitlement-api-v1.ss.hip10.prduweks.us-east-1.aws.aig.net/api/v2/user/7222'""""] got internal server issue ,  error  response: , getting the error {   """"ErrorInfo"""": {     """"errorType"""": """"NOT_FOUND"""",     """"errorText"""": """"HTTP GET on resource 'https://entitlement-api-v1.ss.hip10.prduweks.us-east-1.aws.aig.net/api/v2/user/7222' failed: not found (404)."""",     """"errorCode"""": """"GENAI-HIP-GATEWAYAPI-GEN-ERR-HNDLR-001""""   } } Thank youArun  ",Unable to reproduce,Infra - Third Party/API Connectivity
DE247686,[LMMP] [Prod Issue] INC12362126] : UWA is showing internal server Error..,Issue Description:UWA is showing internal server Error.User Name:  Rakesh Sharma User Email:  rakesh.sharma2@aig.com Impacts multiple users or Business units:  No Application Impacted:  UW Assist ,Timeout Issue,Unable reproduce,Not a Defect,Issue got cleared after refreshing the browser cache.,,Unable reproduce,Code - Edge Case
DE247685,[LMMP] [Prod Issue] INC12362128] : Errors while processing cases.,"Issue Description:While processing cases error showing.User Name: Vardhan Singh, Yash User Email: Yash.Singh@aig.com Submitted Date & Time: Nov 27, 2025 12:52 PM Impacts multiple users or Business units: Yes Application Impacted: UW Assist Submission: S8551311~ER4291791",User Access Issue,"Error: on 27 to 28th couple of submissions have internal server error while calling external api caused the issue for submission to process, which re-triggered and submission processed as above shared the UI snapshot reference populates the data. while calling external api [""""'https://entitlement-api-v1.ss.hip10.prduweks.us-east-1.aws.aig.net/api/v2/user/7222'""""] got internal server issue ,  error  response: , getting the error {   """"ErrorInfo"""": {     """"errorType"""": """"NOT_FOUND"""",     """"errorText"""": """"HTTP GET on resource 'https://entitlement-api-v1.ss.hip10.prduweks.us-east-1.aws.aig.net/api/v2/user/7222' failed: not found (404)."""",     """"errorCode"""": """"GENAI-HIP-GATEWAYAPI-GEN-ERR-HNDLR-001""""   } } ",Infrastructure issue,"Please clear the cache , history and re-check the submission in UWA and data should be visible to end user.","12/03 Checked with Singh, Yash and got confirmation to close it.12/02: Check with the user and close it. All values are populating now.12/01 : Ganga - data appears for the submission and processed.   ","Error: on 27 to 28th couple of submissions have internal server error while calling external api caused the issue for submission to process, which re-",Infra - Third Party/API Connectivity
DE247684,[LMMC] [Prod Issue] INC12362212] : Error showing in UWA Internal ERROR.,"Issue Description:Error showing in UWA Internal ERROR.User Name:  Naeem, Mohd User Email:  Mohd.Naeem@aig.com Submitted Date & Time:  Nov 27, 2025 2:03 PM Impacts multiple users or Business units:  No Application Impacted:  UW Assist ",Timeout Issue,Unable to reproduce.,Not reproducible,"Network issue, and issue got resolved.",,Unable to reproduce.,Code - Edge Case
DE247682,[LMMP] [Prod Issue] INC12370377] : Getting error not able to copy wwip,"Issue Description:Getting error not able to copy wwipUser Name:  Jain, Priyanka Ai User Email:  Priyankaai.Jain@aig.com Submitted Date & Time:  Dec 1, 2025 6:26 AM Impacts multiple users or Business units:  No Application Impacted:  UW Assist Submission:  61851898",Enhancement,Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration . ,Code issue,Issue at WWIP end - to be fixed by 12/09,"12/5 Akash: Vishal email : Issue at WWIP end on the dba name, same effective and expiration date. Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration . 12/3 - Antwuan and Aminat did further investigation and are waiting for correct submission id.02/12 : Partha dropped an email to user to provide the correct submission ID to further investigate.Unable to locate the submission ID (61851898) mentioned in the feedback. Sent an email to the user to provide correct submission id to proceed further with investigating this issue.   ",Dba Name issue :: length of name is more than allowed in WWIPDate :: date can not be same for effective and expiration .,Code - Edge Case
DE246373,[FLPNP][Prod Issue] : Unable to locate missing submissions in UWA,COULD NOT LOCATE MISSING SUBMISSION IN UW ASSIST :missing submissions :94335532234243730452504408,Not a Defect,"These 2 submissions are available in UW Assist but assigned Shelby and Millianna as highlighted below. Both are in UW Assist Complete Status Let me know if you need further information.  943355322ARU - LT1/1/202625819762TOTO U.S.A. HOLDINGS, INC.$          15,900.00QUOTEDMARSH & MCLENNAN COMPANIES, ININ UW ASSISTCRM Found tagged to Shelby Clarkhttps://uwassist.aig.net/submission/e17d43fd-8828-485a-a8b1-abc7587ab64934243730ARU1/1/202617039524VESCOM TEXTILES, INC$          22,900.00QUOTEDEDGEWOOD PARTNERS INSURANCE CEIN UW ASSISTEPL Found tagged to Millianna Hofmannhttps://uwassist.aig.net/submission/7e52fd59-187d-4f18-b544-a9f7cda88e56  ",Data Issue,,"These 2 submissions are available in UW Assist but assigned Shelby and Millianna as highlighted below. Both are in UW Assist Complete Status Let me know if you need further information.  943355322ARU - LT1/1/202625819762TOTO U.S.A. HOLDINGS, INC.$          15,900.00QUOTEDMARSH & MCLENNAN COMPANIES, ININ UW ASSISTCRM Found tagged to Shelby Clarkhttps://uwassist.aig.net/submission/e17d43fd-8828-485a-a8b1-abc7587ab64934243730ARU1/1/202617039524VESCOM TEXTILES, INC$          22,900.00QUOTEDEDGEWOOD PARTNERS INSURANCE CEIN UW ASSISTEPL Found tagged to Millianna Hofmannhttps://uwassist.aig.net/submission/7e52fd59-187d-4f18-b544-a9f7cda88e56  ",These 2 submissions are available in UW Assist but assigned Shelby and Millianna as highlighted below. Both are in UW Assist Complete Status Let me kn,Code - Edge Case
DE246329,[LMMP] [Prod Issue] INC12342110] : Map not working,"Issue Description:Map not workingUser Name: Sherer,Thomas User Email: Thomas.Sherer@aig.com Submitted Date & Time: Nov 20, 2025 4:25 PM Impacts multiple users or Business units: No Application Impacted: UW Assist Submission: S8521830 ~ER4260489",Not a Defect,,Not a Defect,Product will reach out to Thomas to see if he can hit a small refresh on his pc to see if that fixes the problem.,"11/21/2025Seems to be an issue with user local browser issue. Needs to get it fixed from his local computer.Map shows as per below reference snapshot  21/11 : Map appears to be working , please refer the attachment , user might need to re-load or clear cache, refresh ",,Code - Edge Case
